Tiempo(s) Desplazamiento(m)
0.000000 0.00000000
0.101010 0.02401695
0.202020 0.04146869
0.303030 0.04815987
0.404040 0.04267940
0.505051 0.02668567
0.606061 0.00441941
0.707071 -0.01841577
0.808081 -0.03611102
0.909091 -0.04437612
1.010101 -0.04137556
1.111111 -0.02812753
1.212121 -0.00818161
1.313131 0.01332714
1.414141 0.03099685
1.515152 0.04051254
1.616162 0.03969622
1.717172 0.02899895
1.818182 0.01132536
1.919192 -0.00874955
2.020202 -0.02616145
2.121212 -0.03663148
2.222222 -0.03771461
2.323232 -0.02936552
2.424242 -0.01389244
2.525253 0.00467491
2.626263 0.02163160
2.727273 0.03278710
2.828283 0.03549809
2.929293 0.02929069
3.030303 0.01592667
3.131313 -0.00108949
3.232323 -0.01742637
3.333333 -0.02902571
3.434343 -0.03310803
3.535354 -0.02883522
3.636364 -0.01747304
3.737374 -0.00202511
3.838384 0.01355791
3.939394 0.02538626
4.040404 0.03059981
4.141414 0.02805670
4.242424 0.01857697
4.343434 0.00469106
4.444444 -0.01003224
4.545455 -0.02190080
4.646465 -0.02802289
4.747475 -0.02700926
4.848485 -0.01928361
4.949495 -0.00693354
5.050505 0.00685001
5.151515 0.01859499
5.252525 0.02542095
5.353535 0.02574327
5.454545 0.01963733
5.555556 0.00877995
5.656566 -0.00400716
5.757576 -0.01548860
5.858586 -0.02283209
5.959596 -0.02430521
6.060606 -0.01968118
6.161616 -0.01025927
6.262626 0.00149570
6.363636 0.01259609
6.464646 0.02028907
6.565657 0.02273756
6.666667 0.01945651
6.767677 0.01140147
6.868687 0.00069574
6.969697 -0.00992709
7.070707 -0.01781962
7.171717 -0.02107878
7.272727 -0.01900269
7.373737 -0.01223693
7.474747 -0.00258124
7.575758 0.00748696
7.676768 0.01544672
7.777778 0.01936333
7.878788 0.01835678
7.979798 0.01279604
8.080808 0.00417706
8.181818 -0.00527726
8.282828 -0.01318897
8.383838 -0.01762176
8.484848 -0.01755340
8.585859 -0.01310874
8.686869 -0.00550113
8.787879 0.00329629
8.888889 0.01106089
8.989899 0.01588086
9.090909 0.01662459
9.191919 0.01320423
9.292929 0.00657257
9.393939 -0.00153951
9.494949 -0.00907332
9.595960 -0.01416375
9.696970 -0.01559973
9.797980 -0.01311063
9.898990 -0.00741127
10.000000 -0.00000000
