=== DATOS DEL EXPERIMENTO DE TIRO DE PROYECTIL (100 MEDITIONES) ===

 Lanzamiento  Velocidad_Inicial_m_s  Angulo_grados  Tiempo_Vuelo_s  Altura_Maxima_m  Alcance_Horizontal_m
           1                  11.26          37.47            1.44             2.82                 12.13
           2                  35.46          72.04            6.87            58.19                 75.29
           3                  22.57          58.92            3.94            18.75                 46.08
           4                  30.34          50.92            4.75            28.18                 91.50
           5                  46.30          24.36            3.89            18.85                165.17
           6                  19.97          24.36            1.66             3.32                 30.79
           7                  26.42          18.49            1.72             3.66                 42.18
           8                  40.22          66.97            7.51            69.99                119.08
           9                  19.15          51.07            3.06            11.13                 36.07
          10                  13.08          57.48            2.33             6.19                 16.20
          11                  21.59          16.24            1.23             1.21                 26.09
          12                  16.45          73.19            3.23            12.43                 14.86
          13                  47.19          64.95            8.75            93.09                174.63
          14                  42.32          27.74            4.00            19.53                150.66
          15                  35.34          25.91            3.16            12.48                100.46
          16                  44.86          26.00            4.01            19.43                162.61
          17                  42.15          33.25            4.72            27.14                165.95
          18                  17.46          46.49            2.54             8.20                 30.67
          19                  45.70          40.92            6.10            45.96                210.31
          20                  31.57          32.47            3.48            14.36                 91.65
          21                  42.30          51.71            6.84            56.41                177.35
          22                  45.84          23.37            3.76            16.86                156.19
          23                  22.72          32.53            2.60             7.41                 47.85
          24                  14.40          36.98            1.73             3.92                 20.73
          25                  19.12          42.36            2.67             8.50                 37.10
          26                  27.08          62.11            4.89            29.09                 62.56
          27                  42.72          26.98            4.06            19.16                150.30
          28                  44.43          45.85            6.46            51.73                202.49
          29                  10.28          50.54            1.58             3.23                 10.88
          30                  30.43          17.79            1.87             4.54                 54.48
          31                  26.70          51.45            4.15            22.54                 70.28
          32                  18.88          25.23            1.61             3.06                 28.28
          33                  14.79          18.90            0.94             1.60                 13.57
          34                  23.50          71.93            4.56            25.06                 33.57
          35                  47.72          72.94            9.32           106.03                130.44
          36                  22.93          63.50            4.28            21.58                 42.76
          37                  30.75          33.28            3.49            14.57                 88.02
          38                  38.12          20.86            2.74             9.27                 97.83
          39                  24.55          56.05            4.11            21.09                 56.67
          40                  48.87          41.41            6.61            53.16                241.98
          41                  48.50          22.32            3.69            17.18                168.59
          42                  20.07          44.71            2.97            10.33                 40.44
          43                  29.89          17.06            1.85             3.99                 51.18
          44                  22.04          69.56            4.19            21.59                 32.59
          45                  21.39          30.53            2.13             6.20                 40.38
          46                  11.48          54.75            1.98             4.54                 12.73
          47                  34.38          33.70            3.88            18.71                111.29
          48                  30.11          46.20            4.49            24.20                 91.75
          49                  12.06          47.80            1.74             3.90                 14.93
          50                  21.15          26.09            1.87             4.30                 36.29
          51                  46.33          73.18            9.04           100.39                121.79
          52                  19.58          61.51            3.51            15.22                 33.30
          53                  15.80          71.37            3.03            11.41                 14.71
          54                  29.58          68.69            5.65            38.72                 59.92
          55                  49.43          50.87            7.76            75.19                244.07
          56                  19.68          70.31            3.77            17.39                 25.31
          57                  36.89          20.31            2.62             8.46                 90.55
          58                  40.46          26.76            3.74            16.88                136.13
          59                  19.51          17.71            1.25             1.75                 22.77
          60                  39.13          34.52            4.46            25.28                146.31
          61                  24.71          38.32            3.05            12.13                 61.04
          62                  35.29          31.28            3.80            17.28                113.01
          63                  35.34          64.72            6.53            52.31                 98.16
          64                  31.43          36.41            3.77            17.74                 96.59
          65                  13.61          31.86            1.54             2.77                 16.55
          66                  43.41          47.56            6.54            52.25                191.23
          67                  22.83          23.46            1.91             4.27                 38.56
          68                  17.46          63.13            3.18            12.34                 25.10
          69                  11.63          19.47            0.89             0.79                  9.83
          70                  33.64          74.21            6.69            53.51                 59.45
          71                  37.10          61.33            6.62            53.85                118.47
          72                  10.66          26.92            1.03             1.61                  8.55
          73                  30.48          15.33            1.68             3.11                 48.07
          74                  19.06          63.93            3.56            14.70                 29.78
          75                  35.81          57.41            6.10            46.62                118.65
          76                  16.97          58.74            2.99            10.89                 25.52
          77                  37.64          61.28            6.78            55.65                121.36
          78                  25.47          19.44            1.64             3.79                 41.85
          79                  47.47          36.51            5.70            40.65                219.31
          80                  15.50          21.95            1.08             1.53                 17.09
          81                  23.64          66.79            4.42            24.08                 41.31
          82                  14.54          52.40            2.38             6.63                 20.51
          83                  46.99          34.85            5.55            36.95                212.16
          84                  45.09          18.81            2.97            10.75                126.87
          85                  20.32          33.66            2.38             6.30                 37.81
          86                  36.40          34.51            4.14            21.61                126.20
          87                  42.69          58.78            7.36            68.01                164.36
          88                  32.21          53.25            5.26            33.83                101.81
          89                  31.19          68.23            5.92            42.59                 67.89
          90                  19.67          43.33            2.75             9.34                 39.33
          91                  13.72          22.18            0.95             1.42                 13.67
          92                  45.89          57.79            7.91            76.74                194.03
          93                  46.02          60.65            8.11            81.90                183.85
          94                  35.32          48.68            5.44            35.92                125.98
          95                  23.56          61.26            4.23            21.46                 47.48
          96                  23.97          44.63            3.39            14.17                 58.23
          97                  39.04          46.36            5.73            40.54                156.06
          98                  45.88          40.65            6.04            45.50                212.35
          99                  45.48          16.53            2.63             8.59                114.38
         100                  41.20          21.47            3.12            11.89                118.32
