Experimento: Coeficiente de Rozamiento y Segunda Ley de Newton
Columnas: Ensayo | Masa (kg) | Fuerza Normal (N) | Fuerza Aplicada (N) | Fuerza Rozamiento (N) | Coef. Rozamiento (mu_k) | Fuerza Neta (N) | Aceleracion (m/s^2)
===================================================================================================================
1      | 2.19      | 21.48             | 13.53               | 5.38                  | 0.250                  | 8.15            | 3.72              
2      | 4.78      | 46.89             | 17.20               | 11.68                 | 0.249                  | 5.52            | 1.15              
3      | 3.79      | 37.18             | 15.50               | 9.31                  | 0.250                  | 6.19            | 1.63              
4      | 3.19      | 31.29             | 12.95               | 7.52                  | 0.240                  | 5.43            | 1.70              
5      | 1.20      | 11.77             | 5.67                | 2.91                  | 0.247                  | 2.76            | 2.30              
6      | 1.20      | 11.77             | 10.50               | 3.00                  | 0.255                  | 7.50            | 6.25              
7      | 0.76      | 7.46              | 5.62                | 2.09                  | 0.280                  | 3.53            | 4.64              
8      | 4.40      | 43.16             | 11.93               | 10.71                 | 0.248                  | 1.22            | 0.28              
9      | 3.21      | 31.49             | 14.56               | 7.75                  | 0.246                  | 6.81            | 2.12              
10     | 3.69      | 36.20             | 11.56               | 8.97                  | 0.248                  | 2.59            | 0.70              
11     | 0.59      | 5.79              | 11.04               | 1.58                  | 0.273                  | 9.46            | 16.03             
12     | 4.86      | 47.68             | 21.56               | 11.97                 | 0.251                  | 9.59            | 1.97              
13     | 4.25      | 41.69             | 19.57               | 10.34                 | 0.248                  | 9.23            | 2.17              
14     | 1.46      | 14.32             | 7.99                | 3.66                  | 0.256                  | 4.33            | 2.97              
15     | 1.32      | 12.95             | 4.39                | 3.25                  | 0.251                  | 1.14            | 0.86              
16     | 1.33      | 13.05             | 12.76               | 3.41                  | 0.261                  | 9.35            | 7.03              
17     | 1.87      | 18.34             | 9.33                | 4.48                  | 0.244                  | 4.85            | 2.59              
18     | 2.86      | 28.06             | 16.67               | 6.97                  | 0.248                  | 9.70            | 3.39              
19     | 2.44      | 23.94             | 15.60               | 5.93                  | 0.248                  | 9.67            | 3.96              
20     | 1.81      | 17.76             | 12.90               | 4.22                  | 0.238                  | 8.68            | 4.80              
21     | 3.25      | 31.88             | 11.66               | 8.01                  | 0.251                  | 3.65            | 1.12              
22     | 1.13      | 11.09             | 7.28                | 2.81                  | 0.253                  | 4.47            | 3.96              
23     | 1.81      | 17.76             | 13.10               | 4.44                  | 0.250                  | 8.66            | 4.78              
24     | 2.15      | 21.09             | 9.09                | 5.24                  | 0.248                  | 3.85            | 1.79              
25     | 2.55      | 25.02             | 8.57                | 6.04                  | 0.241                  | 2.53            | 0.99              
26     | 4.03      | 39.53             | 15.83               | 9.82                  | 0.248                  | 6.01            | 1.49              
27     | 1.40      | 13.73             | 12.81               | 3.38                  | 0.246                  | 9.43            | 6.74              
28     | 2.81      | 27.57             | 14.03               | 6.77                  | 0.246                  | 7.26            | 2.58              
29     | 3.17      | 31.10             | 13.88               | 7.75                  | 0.249                  | 6.13            | 1.93              
30     | 0.71      | 6.97              | 3.67                | 1.80                  | 0.258                  | 1.87            | 2.63              
31     | 3.23      | 31.69             | 14.75               | 8.21                  | 0.259                  | 6.54            | 2.02              
32     | 1.27      | 12.46             | 13.05               | 3.14                  | 0.252                  | 9.91            | 7.80              
33     | 0.79      | 7.75              | 4.24                | 1.98                  | 0.255                  | 2.26            | 2.86              
34     | 4.77      | 46.79             | 17.35               | 11.69                 | 0.250                  | 5.66            | 1.19              
35     | 4.85      | 47.58             | 20.51               | 11.61                 | 0.244                  | 8.90            | 1.84              
36     | 4.14      | 40.61             | 17.82               | 10.15                 | 0.250                  | 7.67            | 1.85              
37     | 1.87      | 18.34             | 11.86               | 4.59                  | 0.250                  | 7.27            | 3.89              
38     | 0.94      | 9.22              | 9.99                | 2.67                  | 0.290                  | 7.32            | 7.79              
39     | 3.58      | 35.12             | 12.99               | 8.75                  | 0.249                  | 4.24            | 1.18              
40     | 2.48      | 24.33             | 9.77                | 6.13                  | 0.252                  | 3.64            | 1.47              
41     | 1.05      | 10.30             | 10.85               | 2.57                  | 0.250                  | 8.28            | 7.89              
42     | 2.73      | 26.78             | 14.81               | 6.52                  | 0.243                  | 8.29            | 3.04              
43     | 0.65      | 6.38              | 10.57               | 1.77                  | 0.277                  | 8.80            | 13.54             
44     | 4.59      | 45.03             | 20.59               | 11.37                 | 0.252                  | 9.22            | 2.01              
45     | 1.66      | 16.28             | 9.79                | 4.19                  | 0.257                  | 5.60            | 3.37              
46     | 3.48      | 34.14             | 13.91               | 8.40                  | 0.246                  | 5.51            | 1.58              
