# Datos experimentales: Ley de Hooke (Fuerza vs Elongación)
# Constante del resorte estimada (k): 25 N/m
Nro	Elongacion_m	Fuerza_N
1	0.0100	0.2748
2	0.0149	0.3668
3	0.0199	0.5299
4	0.0248	0.6974
5	0.0298	0.7332
6	0.0347	0.8570
7	0.0397	1.0714
8	0.0446	1.1545
9	0.0496	1.2164
10	0.0545	1.3908
11	0.0595	1.4642
12	0.0644	1.5878
13	0.0694	1.7469
14	0.0743	1.7629
15	0.0793	1.8961
16	0.0842	2.0779
17	0.0892	2.1792
18	0.0941	2.3692
19	0.0991	2.4319
20	0.1040	2.5304
21	0.1090	2.7980
22	0.1139	2.8372
23	0.1189	2.9756
24	0.1238	3.0247
25	0.1288	3.1925
26	0.1337	3.3490
27	0.1387	3.4096
28	0.1436	3.6097
29	0.1486	3.6846
30	0.1535	3.8238
31	0.1585	3.9320
32	0.1634	4.1785
33	0.1684	4.2089
34	0.1733	4.2804
35	0.1783	4.4982
36	0.1832	4.5198
37	0.1882	4.7150
38	0.1931	4.7303
39	0.1981	4.8856
40	0.2030	5.0856
41	0.2080	5.2364
42	0.2129	5.3318
43	0.2179	5.4412
44	0.2228	5.5557
45	0.2278	5.6205
46	0.2327	5.7822
47	0.2377	5.9189
48	0.2426	6.1185
49	0.2476	6.2066
50	0.2525	6.2250
51	0.2575	6.4531
52	0.2624	6.5414
53	0.2674	6.6505
54	0.2723	6.8387
55	0.2773	6.9834
56	0.2822	7.1021
57	0.2872	7.1373
58	0.2921	7.2876
59	0.2971	7.4433
60	0.3020	7.5993
61	0.3070	7.6503
62	0.3119	7.7887
63	0.3169	7.8664
64	0.3218	7.9856
65	0.3268	8.2098
66	0.3317	8.3607
67	0.3367	8.4131
68	0.3416	8.5906
69	0.3466	8.6822
70	0.3515	8.7556
71	0.3565	8.9297
72	0.3614	9.1123
73	0.3664	9.1573
74	0.3713	9.3611
75	0.3763	9.2756
76	0.3812	9.5714
77	0.3862	9.6584
78	0.3911	9.7628
79	0.3961	9.9061
80	0.4010	9.9259
81	0.4060	10.1380
82	0.4109	10.2906
83	0.4159	10.4704
84	0.4208	10.4943
85	0.4258	10.6035
86	0.4307	10.7426
87	0.4357	10.9372
88	0.4406	11.0316
89	0.4456	11.1124
90	0.4505	11.2883
91	0.4555	11.3912
92	0.4604	11.5585
93	0.4654	11.5987
94	0.4703	11.7412
95	0.4753	11.8617
96	0.4802	11.9319
97	0.4852	12.1436
98	0.4901	12.2656
99	0.4951	12.3765
100	0.5000	12.4883
